"name","latitude","longitude","been"
"Sequim","48.0","-123.0","todo"
"Shiretoko","44.0","145.0","todo"
"Silver Spring","39.0","-77.0","been"
"Sontra-Blankenbach","51.0","10.0","todo"
"South Pole","-90.0","0.0","todo"
"Southport","34.0","-78.0","todo"
"Sovyetsk","55.0","22.0","todo"
"Spanish Town","18.0","-77.0","todo"
"Square Ambiorix","50.846965","4.383443","todo"
"Staden","51.0","3.0","been"
"Stadtlohn-Büren","52.0","7.0","todo"
"Star Lake","44.0","-75.0","todo"
"Sulzbach","48.0","16.0","todo"
"Talcis","58.0","25.0","todo"
"Tautendorf bei Fürstenfeld","47.0","16.0","todo"
"Thames Centre","43.0","-81.0","todo"
"Timbuktu","17.0","-3.0","todo"
"Triel-sur-Seine","49.0","2.0","todo"
"Ulster","42.0","-74.0","been"
"Vaðlækir, Árnessýsla","64.0","-21.0","todo"
"Velp, Gelderland","52.0","6.0","todo"
"Vestal","42.0","-76.0","been"
"Vilksala","57.0","23.0","todo"
"Vledderveen, Groningen","53.0","7.0","todo"
"Waverly","37.0","-77.0","been"
"West Bridgewater","42.0","-71.0","been"
"West Dover","43.0","-73.0","todo"
"Wetterzeube-Rossendorf","51.0","12.0","todo"
"Wheeler Ridge","35.0","-119.0","todo"
"Wignehies","50.0","4.0","todo"
"Willow Grove","43.0","-80.0","been"
"Wilwerwiltz-Enscherange","50.0","6.0","been"
"Woodstock","42.0","-72.0","been"
"Wunsiedel","50.0","12.0","been"
"Yoman, Kaffrine","14.0","-15.0","todo"
"Zichem","51.0","5.0","been"
"Zāwiyat Sīdī Ġāziy","31.0","30.0","todo"
"Île Léprédour","-22.0","166.0","todo"
"Čumeljaci","43.0","18.0","todo"
